Epoch,Train Loss
1,"[4.250651184941681, 4.00507253548349, 3.6365064253829456, 3.0610162305160307, 2.7931046642607926, 2.7288146712970285, 2.707820256551107, 2.6948057094090423, 2.6947556258367262, 2.691497372909331]"
2,"[4.1404611650207235, 3.9193927782801956, 3.5977444178621534, 3.131620854838913, 2.7501202435560628, 2.7160448334026785, 2.691631469368375, 2.6844093609303936, 2.676112152601072, 2.672286817165608]"
3,"[4.121453925477507, 3.9074661541432842, 3.5775354233146275, 3.1393470764160156, 2.87458516958174, 2.862173384903742, 2.826392437930398, 2.8182940729347195, 2.811492987082038, 2.800179897899359]"
